number,company,symbol,ytd_return
442,BOSTON PROPERTIES INC,,   -8.68%
443,AKAMAI TECHNOLOGIES INC,,   -8.69%
444,ESSEX PROPERTY TRUST INC,,   -8.93%
445,WEC ENERGY GROUP INC,,   -9.05%
446,DUPONT DE NEMOURS INC,,   -9.13%
447,DEERE + CO,,   -9.17%
448,NEXTERA ENERGY INC,,   -9.20%
449,P G + E CORP,,   -9.21%
450,ENPHASE ENERGY INC,,   -9.31%
451,KIMCO REALTY CORP,,   -9.53%
452,GILEAD SCIENCES INC,,   -9.95%
453,REGENCY CENTERS CORP,,   -10.10%
454,FRANKLIN RESOURCES INC,,   -10.27%
455,ROCKWELL AUTOMATION INC,,   -10.52%
456,FREEPORT MCMORAN INC,,   -10.66%
457,AMERICAN WATER WORKS CO INC,,   -11.03%
458,EXPEDIA GROUP INC,,   -11.09%
459,ETSY INC,,   -11.22%
460,STANLEY BLACK + DECKER INC,,   -11.33%
461,MOSAIC CO/THE,,   -11.45%
462,KEURIG DR PEPPER INC,,   -11.46%
463,WHIRLPOOL CORP,,   -11.84%
464,KENVUE INC,,   -12.03%
465,HEWLETT PACKARD ENTERPRISE,,   -12.07%
466,COMERICA INC,,   -12.26%
467,ZIONS BANCORP NA,,   -12.42%
468,BAKER HUGHES CO,,   -12.70%
469,PAYCOM SOFTWARE INC,,   -12.89%
470,CAESARS ENTERTAINMENT INC,,   -12.91%
471,AMERICAN TOWER CORP,,   -13.04%
472,EXTRA SPACE STORAGE INC,,   -13.18%
473,BIOGEN INC,,   -13.55%
474,APTIV PLC,,   -13.60%
475,VENTAS INC,,   -13.78%
476,INTEL CORP,,   -14.45%
477,GENERAC HOLDINGS INC,,   -14.54%
478,C.H. ROBINSON WORLDWIDE INC,,   -15.00%
479,INVESCO LTD,,   -15.41%
480,BORGWARNER INC,,   -15.84%
481,ALBEMARLE CORP,,   -15.89%
482,3M CO,,   -16.01%
483,FIRST SOLAR INC,,   -16.08%
484,AIR PRODUCTS + CHEMICALS INC,,   -16.23%
485,FMC CORP,,   -16.67%
486,APA CORP,,   -17.45%
487,VF CORP,,   -17.55%
488,SBA COMMUNICATIONS CORP,,   -18.10%
489,HEALTHPEAK PROPERTIES INC,,   -18.28%
490,AES CORP,,   -19.22%
491,WALGREENS BOOTS ALLIANCE INC,,   -19.61%
492,TESLA INC,,   -19.75%
493,CARNIVAL CORP,,   -20.28%
494,NORWEGIAN CRUISE LINE HOLDIN,,   -20.51%
495,HUMANA INC,,   -21.38%
496,INSULET CORP,,   -22.19%
497,BOEING CO/THE,,   -23.06%
498,CHARTER COMMUNICATIONS INC A,,   -24.71%
499,WARNER BROS DISCOVERY INC,,   -24.87%
500,PARAMOUNT GLOBAL CLASS B,,   -25.02%
501,ARCHER DANIELS MIDLAND CO,,   -26.38%
502,MARKETAXESS HOLDINGS INC,,   -26.95%
503,NEWMONT CORP,,   -27.49%
